target,selector,attr,es,cat,en,
index,title,,PaisArque (ES),PaisArque (CAT),PaisArque (EN),
index,#bbva_mark,,Financiado por,Finançat per,Funded by,
index,#body1,,"Proyecto realizado por grupos pertenecientes a la Universidad Pompeu Fabra con la financiación de la <a href=""https://www.fbbva.es/"">Fundación BBVA.</a> ","Projecte realitzat per grups pertanyents a la Universitat Pompeu Fabra amb el finançament de la <a href=""https://www.fbbva.es/"">Fundació BBVA.</a> ","Project by UPF related groups thanks to the funding of the <a href=""https://www.fbbva.es/"">BBVA foundation.</a>", 
index,#body2_title,,Resumen,Resum,Summary,
index,#body2,,"PaisArque se propone desarrollar una aplicación de fácil utilizo y acceso, basada en la web, a través de la cual los usuarios puedan generar modelos 3D de monumentos y/o objetos a partir de fotografías digitales.<br><br>Tecnológicamente, el proyecto opta por una visión integrada 3D en web debido a la creciente importancia de la participación colectiva en la ciencia, tanto por parte de los profesionales, como de los usuarios, de forma que las apps para la experiencia y visualización del patrimonio arqueológico sean multiplataforma.","PaisArque es proposa desenvolupar una aplicació de fàcil ús i accés, basada en la web, a través de la qual els usuaris puguin generar models 3D de monuments i/o objectes a partir de fotografies digitals.<br><br>Tecnològicament, el projecte opta per una visió integrada 3D en web a causa de la creixent importància de la participació col·lectiva en la ciència, tant per part dels professionals com dels usuaris, de manera que les apps per l'experiència i visualització del patrimoni arqueològic siguin multiplataforma.","PaisArque aims to develop an easy-to-use, web-based application through which users can generate 3D models of monuments and/or objects from digital photographs.<br><br>Technologically, the project opts for an integrated 3D vision in web because of the growing importance of collective participation in science, both by professionals and users, so that the applications for the experience and visualization of the archaeological heritage be multiplatform.", 
index,#have_account,,¿Tienes cuenta?,Tens compte?,Do you have an account?,
index,#signin-btn,,"<span class=""ladda-label"">Iniciar sesión</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Iniciar sessió</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Sign in</span><span class=""ladda-spinner""></span>",
index,.new-account,,"<span class=""ladda-label"">Registrarse</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Registrar-se</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Sign up</span><span class=""ladda-spinner""></span>",
index,#have-problem-login,,"<span class=""ladda-label"">¿Problemas para iniciar sesión?</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Problemes per iniciar sessió?</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Having trouble logging in?</span><span class=""ladda-spinner""></span>", 
index,.forgotpasswordsend-button,,"<span class=""ladda-label"">Enviar mail de reset</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Enviar mail de reset</span><span class=""ladda-spinner""></span>","<span class=""ladda-label"">Send reset mail</span><span class=""ladda-spinner""></span>",
index,#inputEmail,placeholder,Usuario,Usuari,Username,
index,#inputPassword,placeholder,Contraseña,Clau,Password,
index,.form-forgot-heading,,¿Has olvidado la contraseña?,Has oblidat la contraseña?,Forgot your password?,
inicio,title,,PaisArque - Proyectos (ES),PaisArque - Projectes (CAT),PaisArque - Projects (EN),
inicio,#addProject,,Crear nuevo proyecto,Crear nou projecte,Create new project,
inicio,#search-bar,placeholder,Buscador...,Cercador...,Search here,
inicio,#filter0,,Filtros (por defecto: Nombre),Filtres (per defecte: Nom),Filters (Name by default),
inicio,#filter1,,Nombre,Nom,Name,
inicio,#filter2,,Autor,Autor,Author,
inicio,#filter3,,Lugar,Lloc,Location,
inicio,#th-0,,Vista previa,Vista prèvia,Preview,
inicio,#th-1,,Nombre proyecto,Nom projecte,Project name,
inicio,#th-2,,Autor proyecto,Autor projecte,Project author,
inicio,#th-3,,Lugar,Lloc,Location,
inicio,.uploading-files,,Subiendo archivos al servidor,Pujant arxius al servidor,Uploading files,
inicio,#myModalLabel,,Nuevo proyecto,Nou projecte,New project,
inicio,#lb-id,,Nombre,Nom,Name,
inicio,#lb-author,,Autor,Autor,Author,
inicio,#lb-place,,Lugar,Lloc,Location,
inicio,#lb-lat,,Latitud,Latitud,Latitude,
inicio,#lb-long,,Longitud,Longitud,Longitude,
inicio,#lb-mesh,,Modelo OBJ,Model OBJ,OBJ Model,
inicio,#lb-text,,Textura JPG,Textura JPG,JPG Texture,
inicio,#idProyecto,placeholder,Nombre del proyecto,Nom del projecte,Project name,
inicio,#lautor,placeholder,Autor,Autor,Author,
inicio,#lugar,placeholder,Lugar,Lloc,Location,
inicio,#latitud,placeholder,Latitud,Latitud,Latitude,
inicio,#longitud,placeholder,Longitud,Longitud,Longitude,
inicio,#sendProject,,Enviar,Enviar,Send,
inicio,#cancelProject,,Cancelar,Surt,Cancel,
exportar,title,,PaisArque - Exportar (ES),PaisArque - Exportar (CAT),PaisArque - Export (EN),
exportar,.help-nav,,SOPORTE,SUPORT,SUPPORT,
exportar,.extra-nav,,APORTACIONES,APORTACIONS,CONTRIBUTIONS,
exportar,.export-nav,,EXPORTAR,EXPORTAR,EXPORT,
exportar,.w3-xlarge,,<b>EXPORTAR</b>,<b>EXPORTAR</b>,<b>EXPORT</b>,
exportar,#h3-files,,ARCHIVOS,ARXIUS,FILES,
exportar,#h3-model,,MODELO,MODEL,MODEL,
exportar,#h3-project,,PROYECTO,PROJECTE,PROJECT,
exportar,#h3-tables,,TABLAS,TAULES,TABLES,
exportar,#h3-object,,OBJETO,OBJECTE,OBJECT,
exportar,.summary,,Resumen,Resum,Summary,
exportar,.detailed,,Detalle,Detall,In detail,
exportar,.config,,Configuración,Configuració,Configuration file,
exportar,.aport,,Aportaciones,Aportacions,Extra information,
exportar,._anotations,,Anotaciones,Anotacions,Annotations,
exportar,._rotations,,Rotaciones,Rotacions,Rotations,
exportar,._measures,,Medidas,Mesures,Measures,
exportar,._areas,,Áreas,Àrees,Areas,
exportar,._extra,,Aportaciones,Aportacions,Extra information,
exportar,.images,,Imágenes,Imatges,Images,
exportar,.text,,Notas de texto,Notes de text,Text notes,
exportar,.conf-php,,Configuración,Configuració,Configuration file,
exportar,.export-file,title,Descargar archivos en ZIP,Descarregar arxius en ZIP,Download in ZIP file,
exportar,.export-pdf,title,Exportar en PDF,Exportar a PDF,Export in PDF,
exportar,.export-xls,title,Exportar en CSV,Exportar a CSV,Export in CSV,
exportar,.export-json,title,Exportar en JSON,Exportar a JSON,Export in JSON,
exportar,#down-mesh,,Mesh,Mesh,Mesh,
exportar,#down-text,,Textura,Textura,Texture,
exportar,#down-mesh,title,Descargar mesh,Descarregar mesh,Download mesh,
exportar,#down-text,title,Descargar textura,Descarregar textura,Download texture,
infoextra,title,,PaisArque - Aportaciones (ES),PaisArque - Aportacions (CAT),PaisArque - Contributions (EN),
infoextra,.help-nav,,SOPORTE,SUPORT,SUPPORT,
infoextra,.extra-nav,,APORTACIONES,APORTACIONS,CONTRIBUTIONS,
infoextra,.export-nav,,EXPORTAR,EXPORTAR,EXPORT,
infoextra,.w3-xlarge,,<b>APORTACIONES</b>,<b>APORTACIONS</b>,<b>CONTRIBUTIONS</b>,
infoextra,#label-tab1,,Imágenes,Imatges,Images,
infoextra,#label-tab3,,Texto,Text,Text,
infoextra,#label-tab4,,Vídeos,Vídeos,Videos,
infoextra,myModalLabel,,Subir imagen,Pujar imatge,Upload image,
infoextra,.cancel-btn,,Cancelar,Surt,Cancel,
infoextra,.submit-btn,,Añadir,Afegir,Add,
infoextra,#image-url,placeholder,Cargar imagen desde URL,Afegir imatge desde URL,Load image from URL,
infoextra,#pdf-url,placeholder,Cargar PDF desde URL,Afegir PDF desde URL,Load PDF from URL,
infoextra,#text-url,placeholder,Escribe aquí cualquier nota,Escriu aquí qualsevol nota,Write something here,
infoextra,#video-url,placeholder,Youtube URL vídeo,Youtube URL vídeo,Youtube video URL,
ayuda,title,,PaisArque - Soporte (ES),PaisArque - Suport (CAT),PaisArque - Support (EN),
ayuda,.help-nav,,SOPORTE,SUPORT,SUPPORT,
ayuda,.extra-nav,,APORTACIONES,APORTACIONS,CONTRIBUTIONS,
ayuda,.export-nav,,EXPORTAR,EXPORTAR,EXPORT,
ayuda,.w3-xlarge,,<b>SOPORTE</b>,<b>SUPORT</b>,<b>SUPPORT</b>,
ayuda,#label-tab-photo,,Tomar las fotografías,Fer les fotografies,Take photographies,
ayuda,#label-tab-model,,Crear el modelo 3D,Crear el model 3D,Creating 3D model,
ayuda,#label-tab-app,,Aplicación,Aplicació,APP,
ayuda,#fotogrametria-p,,"La fotogrametría es un proceso de toma de fotos para la modelación de un objeto real al mundo 3D. A continuación podrás ver un tutorial en el que aprenderás a tomar unas buenas fotografías para, más adelante, reconstruir la escena en un archivo OBJ y poder visualizarlo en nuestra página.","La fotogrametria és un procés de presa de fotografies per a la modelització d'un objecte real al món 3D. A continuació podrás veure un tutorial en el qual aprendràs a prendre unes bones fotografies per, més endevant, reconstruir l'escena en un arxiu OBJ i poder visualitzar-ho en la nostra pàgina.",Photogrammetry is the process of taking photos for modeling a real object into the 3D world. Follows a tutorial in which you will learn to take useful pictures to reconstruct the scene in an OBJ file and to be able to visualize it in our page.,
